ix,name,shortname,R,G,B
1,Aud               ,Aud,1,0,1
2,Vis               ,Vis,0,0,1
3,Sml               ,Sml,0,1,1
4,CiO               ,CiO,0.502,0,0.502
5,CiO               ,CiO,0.502,0,0.502
6,CiO               ,CiO,0.502,0,0.502
7,ReT               ,ReT,0.863,0.863,0.863
8,CiO               ,CiO,0.502,0,0.502
9,non               ,non,0.502,0.502,0.502
10,Def               ,Def,1,0,0
11,non               ,non,0.502,0.502,0.502
12,Aud               ,Aud,1,0,1
13,FrP               ,FrP,0.9,0.6,0
14,FrP               ,FrP,0.9,0.6,0
15,DoA               ,DoA,0,0.863,0
16,Vis               ,Vis,0,0,1
17,DoA               ,DoA,0,0.863,0
18,non               ,non,0.502,0.502,0.502
19,non               ,non,0.502,0.502,0.502
20,DoA               ,DoA,0,0.863,0
21,Def               ,Def,1,0,0
22,Def               ,Def,1,0,0
23,Def               ,Def,1,0,0
24,Def               ,Def,1,0,0
25,non               ,non,0.502,0.502,0.502
26,DoA               ,DoA,0,0.863,0
27,CiO               ,CiO,0.502,0,0.502
28,CiO               ,CiO,0.502,0,0.502
29,VeA               ,VeA,0,0.502,0.502
30,Vis               ,Vis,0,0,1
31,Vis               ,Vis,0,0,1
32,non               ,non,0.502,0.502,0.502
33,non               ,non,0.502,0.502,0.502
34,Sal               ,Sal,0,0,0
35,CiO               ,CiO,0.502,0,0.502
36,CiO               ,CiO,0.502,0,0.502
37,FrP               ,FrP,0.9,0.6,0
38,Sal               ,Sal,0,0,0
39,Sml               ,Sml,0,1,1
40,Sml               ,Sml,0,1,1
41,CiO               ,CiO,0.502,0,0.502
42,CiO               ,CiO,0.502,0,0.502
43,DoA               ,DoA,0,0.863,0
44,VeA               ,VeA,0,0.502,0.502
45,Def               ,Def,1,0,0
46,CiO               ,CiO,0.502,0,0.502
47,Def               ,Def,1,0,0
48,CiO               ,CiO,0.502,0,0.502
49,Def               ,Def,1,0,0
50,CiO               ,CiO,0.502,0,0.502
51,non               ,non,0.502,0.502,0.502
52,Def               ,Def,1,0,0
53,Sml               ,Sml,0,1,1
